customerPrdct_id,PhoneService,MultipleLines,InternetService
7590-VHVEG,No,No phone service,DSL
5575-GNVDE,Yes,No,DSL
3668-QPYBK,Yes,No,DSL
7795-CFOCW,No,No phone service,DSL
9237-HQITU,Yes,No,Fiber optic
9305-CDSKC,Yes,Yes,Fiber optic
1452-KIOVK,Yes,Yes,Fiber optic
6713-OKOMC,No,No phone service,DSL
7892-POOKP,Yes,Yes,Fiber optic
6388-TABGU,Yes,No,DSL
9763-GRSKD,Yes,No,DSL
7469-LKBCI,Yes,No,No
8091-TTVAX,Yes,Yes,Fiber optic
0280-XJGEX,Yes,Yes,Fiber optic
5129-JLPIS,Yes,No,Fiber optic
3655-SNQYZ,Yes,Yes,Fiber optic
8191-XWSZG,Yes,No,No
9959-WOFKT,Yes,Yes,Fiber optic
4190-MFLUW,Yes,No,DSL
4183-MYFRB,Yes,No,Fiber optic
8779-QRDMV,No,No phone service,DSL
1680-VDCWW,Yes,No,No
1066-JKSGK,Yes,No,No
3638-WEABW,Yes,Yes,DSL
6322-HRPFA,Yes,No,DSL
6865-JZNKO,Yes,No,DSL
6467-CHFZW,Yes,Yes,Fiber optic
8665-UTDHZ,No,No phone service,DSL
5248-YGIJN,Yes,Yes,DSL
8773-HHUOZ,Yes,No,DSL
3841-NFECX,Yes,Yes,Fiber optic
4929-XIHVW,Yes,No,Fiber optic
6827-IEAUQ,Yes,No,DSL
7310-EGVHZ,Yes,No,No
3413-BMNZE,Yes,No,DSL
6234-RAAPL,Yes,Yes,Fiber optic
6047-YHPVI,Yes,No,Fiber optic
6572-ADKRS,Yes,No,Fiber optic
5380-WJKOV,Yes,Yes,Fiber optic
8168-UQWWF,Yes,Yes,Fiber optic
8865-TNMNX,Yes,No,DSL
9489-DEDVP,Yes,Yes,DSL
9867-JCZSP,Yes,No,No
4671-VJLCL,Yes,Yes,DSL
4080-IIARD,Yes,Yes,DSL
3714-NTNFO,Yes,Yes,Fiber optic
5948-UJZLF,Yes,No,DSL
7760-OYPDY,Yes,No,Fiber optic
7639-LIAYI,Yes,Yes,DSL
2954-PIBKO,Yes,Yes,DSL
8012-SOUDQ,Yes,Yes,Fiber optic
9420-LOJKX,Yes,No,Fiber optic
6575-SUVOI,Yes,Yes,DSL
7495-OOKFY,Yes,Yes,Fiber optic
4667-QONEA,Yes,No,DSL
1658-BYGOY,Yes,Yes,Fiber optic
8769-KKTPH,Yes,Yes,Fiber optic
5067-XJQFU,Yes,Yes,Fiber optic
3957-SQXML,Yes,Yes,No
5954-BDFSG,Yes,Yes,Fiber optic
0434-CSFON,Yes,Yes,Fiber optic
1215-FIGMP,Yes,Yes,Fiber optic
0526-SXDJP,No,No phone service,DSL
0557-ASKVU,Yes,No,DSL
5698-BQJOH,Yes,Yes,Fiber optic
5122-CYFXA,Yes,No,DSL
8627-ZYGSZ,Yes,Yes,Fiber optic
3410-YOQBQ,Yes,No,DSL
3170-NMYVV,Yes,No,No
7410-OIEDU,Yes,No,Fiber optic
2273-QCKXA,Yes,No,DSL
0731-EBJQB,Yes,No,No
1891-QRQSA,Yes,Yes,Fiber optic
8028-PNXHQ,Yes,Yes,No
5630-AHZIL,Yes,No,DSL
2673-CXQEU,Yes,Yes,Fiber optic
6416-JNVRK,Yes,No,DSL
5590-ZSKRV,Yes,No,DSL
0191-ZHSKZ,Yes,No,DSL
3887-PBQAO,Yes,Yes,No
5919-TMRGD,Yes,No,Fiber optic
8108-UXRQN,No,No phone service,DSL
9191-MYQKX,Yes,No,Fiber optic
9919-YLNNG,Yes,No,Fiber optic
0318-ZOPWS,Yes,No,No
4445-ZJNMU,Yes,Yes,Fiber optic
4808-YNLEU,Yes,No,DSL
1862-QRWPE,Yes,No,No
2796-NNUFI,Yes,No,No
3016-KSVCP,No,No phone service,DSL
4767-HZZHQ,Yes,No,Fiber optic
2424-WVHPL,Yes,No,Fiber optic
7233-PAHHL,Yes,Yes,DSL
6067-NGCEU,Yes,Yes,Fiber optic
9848-JQJTX,Yes,Yes,Fiber optic
8637-XJIVR,Yes,Yes,Fiber optic
9803-FTJCG,Yes,Yes,DSL
0278-YXOOG,Yes,No,No
3212-KXOCR,Yes,No,No
4598-XLKNJ,Yes,No,Fiber optic
6380-ARCEH,Yes,No,No
3679-XASPY,Yes,No,No
7123-WQUHX,Yes,Yes,Fiber optic
5386-THSLQ,No,No phone service,DSL
3192-NQECA,Yes,Yes,Fiber optic
6180-YBIQI,No,No phone service,DSL
6728-DKUCO,Yes,Yes,Fiber optic
9750-BOOHV,No,No phone service,DSL
8597-CWYHH,Yes,Yes,Fiber optic
2848-YXSMW,Yes,No,No
0486-HECZI,Yes,Yes,Fiber optic
4549-ZDQYY,Yes,No,DSL
5712-AHQNN,Yes,No,Fiber optic
4846-WHAFZ,Yes,Yes,Fiber optic
5256-SKJGO,No,No phone service,DSL
3071-VBYPO,Yes,No,Fiber optic
9560-BBZXK,No,No phone service,DSL
5299-RULOA,Yes,Yes,Fiber optic
8402-OOOHJ,Yes,No,No
9445-ZUEQE,Yes,Yes,Fiber optic
1091-SOZGA,Yes,Yes,Fiber optic
2928-HLDBA,Yes,No,No
0404-SWRVG,Yes,Yes,Fiber optic
6497-TILVL,Yes,No,DSL
7219-TLZHO,Yes,No,No
4622-YNKIJ,Yes,No,Fiber optic
4412-YLTKF,Yes,Yes,Fiber optic
6734-PSBAW,Yes,Yes,No
3930-ZGWVE,Yes,No,No
2639-UGMAZ,No,No phone service,DSL
2876-GZYZC,Yes,Yes,Fiber optic
6207-WIOLX,No,No phone service,DSL
8587-XYZSF,Yes,No,DSL
3091-FYHKI,No,No phone service,DSL
2372-HWUHI,Yes,No,DSL
7799-LGRDP,Yes,Yes,No
7850-VWJUU,Yes,No,Fiber optic
3774-VBNXY,Yes,No,No
6217-KDYWC,Yes,No,No
0390-DCFDQ,Yes,No,Fiber optic
3146-MSEGF,Yes,Yes,DSL
4080-OGPJL,Yes,Yes,DSL
1095-WGNGG,Yes,Yes,Fiber optic
2636-SJDOU,Yes,Yes,Fiber optic
1131-QQZEB,Yes,Yes,No
5716-EZXZN,Yes,Yes,Fiber optic
6837-BJYDQ,Yes,No,No
2135-RXIHG,Yes,No,DSL
6440-DKQGE,Yes,No,DSL
3466-BYAVD,Yes,No,DSL
3780-YVMFA,Yes,No,DSL
3874-EQOEP,Yes,Yes,Fiber optic
1679-JRFBR,Yes,Yes,Fiber optic
9073-ZZIAY,Yes,No,DSL
3077-RSNTJ,Yes,No,No
6551-GNYDG,Yes,No,Fiber optic
9167-APMXZ,Yes,Yes,Fiber optic
2749-CTKAJ,Yes,No,No
6371-NZYEG,Yes,No,DSL
7554-NEWDD,Yes,Yes,No
8992-VONJD,Yes,No,DSL
0867-MKZVY,Yes,Yes,Fiber optic
4482-EWFMI,Yes,No,Fiber optic
4648-YPBTM,Yes,Yes,DSL
2907-ILJBN,Yes,No,No
6345-FZOQH,Yes,No,No
3376-BMGFE,Yes,No,Fiber optic
5997-OPVFA,Yes,Yes,DSL
3445-HXXGF,No,No phone service,DSL
1159-WFSGR,Yes,No,No
7654-YWJUF,Yes,No,Fiber optic
1875-QIVME,Yes,Yes,Fiber optic
6727-IOTLZ,Yes,No,DSL
0691-JVSYA,Yes,No,Fiber optic
5918-VUKWP,Yes,No,No
1744-JHKYS,Yes,Yes,No
2656-FMOKZ,Yes,Yes,Fiber optic
2070-FNEXE,Yes,No,Fiber optic
5947-SGKCL,Yes,Yes,Fiber optic
3712-PKXZA,Yes,No,No
6317-YPKDH,No,No phone service,DSL
6582-OIVSP,Yes,No,DSL
9367-WXLCH,Yes,Yes,Fiber optic
5524-KHNJP,Yes,No,DSL
1918-ZBFQJ,Yes,No,Fiber optic
1024-GUALD,No,No phone service,DSL
4827-USJHP,Yes,No,DSL
8167-GJLRN,No,No phone service,DSL
0956-SYCWG,Yes,No,No
8017-UVSZU,Yes,Yes,DSL
7100-FQPRV,Yes,Yes,DSL
2472-OVKUP,Yes,No,Fiber optic
2984-RGEYA,Yes,No,No
9680-NIAUV,Yes,Yes,Fiber optic
2146-EGVDT,Yes,No,No
2604-IJPDU,Yes,No,Fiber optic
9178-JHUVJ,Yes,Yes,No
6168-YBYNP,Yes,Yes,Fiber optic
7255-SSFBC,Yes,Yes,Fiber optic
3645-DEYGF,Yes,No,No
9323-HGFWY,Yes,No,Fiber optic
8544-GOQSH,Yes,No,Fiber optic
3363-DTIVD,Yes,Yes,Fiber optic
7018-WBJNK,Yes,No,Fiber optic
9142-KZXOP,Yes,No,Fiber optic
7674-YTAFD,Yes,No,Fiber optic
6348-SNFUS,No,No phone service,DSL
1285-OKIPP,Yes,No,Fiber optic
7825-ECJRF,Yes,No,Fiber optic
1347-KTTTA,Yes,No,Fiber optic
7841-TZDMQ,Yes,No,DSL
4195-NZGTA,No,No phone service,DSL
7157-SMCFK,Yes,No,No
4709-LKHYG,Yes,No,No
2504-DSHIH,Yes,Yes,Fiber optic
0699-NDKJM,No,No phone service,DSL
9286-BHDQG,No,No phone service,DSL
0230-WEQUW,No,No phone service,DSL
2040-LDIWQ,Yes,Yes,DSL
6496-JDSSB,Yes,No,Fiber optic
9408-SSNVZ,Yes,No,Fiber optic
4443-EMBNA,Yes,Yes,No
6469-MRVET,Yes,No,No
0742-MOABM,Yes,No,DSL
5961-VUSRV,Yes,No,No
6778-JFCMK,No,No phone service,DSL
6341-JVQGF,Yes,No,DSL
2232-DMLXU,Yes,No,DSL
4811-JBUVU,Yes,Yes,Fiber optic
0945-TSONX,Yes,Yes,DSL
2651-ZCBXV,Yes,Yes,Fiber optic
3316-UWXUY,Yes,No,Fiber optic
8937-RDTHP,Yes,No,Fiber optic
7083-MIOPC,Yes,No,No
1984-GPTEH,Yes,Yes,No
1251-KRREG,Yes,Yes,DSL
0621-JFHOL,No,No phone service,DSL
9903-LYSAB,Yes,Yes,Fiber optic
0094-OIFMO,Yes,No,Fiber optic
9227-UAQFT,Yes,No,No
7301-ABVAD,Yes,Yes,DSL
6614-FHDBO,Yes,Yes,Fiber optic
7576-ASEJU,Yes,No,DSL
9058-HRZSV,Yes,No,Fiber optic
4522-AKYLR,Yes,No,DSL
0221-WMXNQ,Yes,No,Fiber optic
0303-UNCIP,Yes,Yes,DSL
9947-OTFQU,Yes,No,Fiber optic
0322-YINQP,Yes,No,DSL
0959-WHOKV,Yes,Yes,Fiber optic
4075-JFPGR,Yes,No,Fiber optic
4629-NRXKX,Yes,No,Fiber optic
9514-JDSKI,No,No phone service,DSL
3282-ZISZV,Yes,Yes,DSL
3675-YDUPJ,Yes,No,No
4111-BNXIF,No,No phone service,DSL
7017-VFHAY,Yes,Yes,Fiber optic
6655-LHBYW,Yes,Yes,Fiber optic
4959-JOSRX,Yes,No,DSL
5046-NUHWD,No,No phone service,DSL
7273-TEFQD,No,No phone service,DSL
3606-TWKGI,Yes,Yes,Fiber optic
7529-ZDFXI,Yes,Yes,Fiber optic
7605-BDWDC,No,No phone service,DSL
1950-KSVVJ,Yes,Yes,Fiber optic
0123-CRBRT,Yes,Yes,DSL
6292-TOSSS,Yes,Yes,No
3197-ARFOY,Yes,No,Fiber optic
6323-AYBRX,Yes,No,No
7014-ZZXAW,Yes,Yes,No
4385-GZQXV,Yes,No,Fiber optic
7633-MVPUY,Yes,No,DSL
6366-ZGQGL,No,No phone service,DSL
4716-HHKQH,Yes,Yes,Fiber optic
5940-AHUHD,Yes,No,Fiber optic
6432-TWQLB,Yes,Yes,Fiber optic
4484-GLZOU,Yes,Yes,Fiber optic
3179-GBRWV,Yes,No,DSL
8645-KWHJO,No,No phone service,DSL
4130-MZLCC,Yes,No,DSL
0314-TKOSI,Yes,No,DSL
8229-MYEJZ,Yes,No,DSL
2080-SRCDE,Yes,Yes,No
9577-WJVCQ,Yes,Yes,DSL
9512-UIBFX,Yes,No,Fiber optic
6202-DYYFX,Yes,Yes,Fiber optic
3808-HFKDE,Yes,No,DSL
5583-SXDAG,Yes,No,Fiber optic
3488-PGMQJ,Yes,No,Fiber optic
3580-REOAC,Yes,No,DSL
7534-BFESC,Yes,Yes,Fiber optic
3727-OWVYD,Yes,No,DSL
2294-SALNE,Yes,No,Fiber optic
4847-TAJYI,Yes,No,Fiber optic
1563-IWQEX,Yes,No,No
8203-XJZRC,Yes,No,No
6556-DBKZF,Yes,No,Fiber optic
6851-WEFYX,Yes,Yes,Fiber optic
2985-JUUBZ,Yes,Yes,DSL
6390-DSAZX,Yes,No,Fiber optic
0895-LMRSF,Yes,No,DSL
8098-LLAZX,Yes,Yes,Fiber optic
8266-VBFQL,Yes,No,Fiber optic
8181-YHCMF,No,No phone service,DSL
2240-HSJQD,Yes,Yes,Fiber optic
1248-DYXUB,Yes,Yes,No
0265-EDXBD,Yes,Yes,Fiber optic
4115-BNPJY,Yes,No,DSL
3167-SNQPL,Yes,Yes,Fiber optic
4091-TVOCN,Yes,Yes,DSL
1098-TDVUQ,Yes,No,No
7277-OZCGZ,Yes,No,Fiber optic
1557-EMYVT,Yes,Yes,Fiber optic
2799-ARNLO,Yes,No,Fiber optic
7563-BIUPC,Yes,No,Fiber optic
5027-YOCXN,Yes,Yes,Fiber optic
3973-SKMLN,Yes,No,No
2321-OMBXY,Yes,No,DSL
2840-XANRC,Yes,No,Fiber optic
6745-JEFZB,Yes,Yes,Fiber optic
5020-ZSTTY,Yes,Yes,DSL
9880-TDQAC,No,No phone service,DSL
8705-WZCYL,Yes,No,DSL
7102-JJVTX,Yes,No,DSL
8626-PTQGE,No,No phone service,DSL
4983-CLMLV,Yes,Yes,Fiber optic
5701-YVSVF,Yes,No,Fiber optic
5804-LEPIM,Yes,No,Fiber optic
5697-GOMBF,No,No phone service,DSL
2739-CACDQ,Yes,Yes,Fiber optic
9385-EHGDO,Yes,No,No
9498-FIMXL,Yes,No,No
2379-GYFLQ,Yes,Yes,Fiber optic
0122-OAHPZ,Yes,Yes,Fiber optic
2868-SNELZ,Yes,Yes,Fiber optic
4322-RCYMT,Yes,Yes,DSL
6680-NENYN,Yes,Yes,Fiber optic
2088-IEBAU,Yes,Yes,DSL
7982-VCELR,Yes,No,Fiber optic
1343-EHPYB,Yes,Yes,Fiber optic
6035-BXTTY,Yes,No,DSL
6885-PKOAM,Yes,Yes,DSL
7520-HQWJU,Yes,Yes,DSL
9639-BUJXT,Yes,No,No
5924-SNGKP,Yes,No,No
0021-IKXGC,Yes,Yes,Fiber optic
2034-GDRCN,Yes,No,Fiber optic
8966-SNIZF,Yes,No,No
6243-OZGFH,No,No phone service,DSL
4654-DLAMQ,Yes,No,Fiber optic
0513-RBGPE,Yes,Yes,DSL
5160-UXJED,Yes,No,DSL
4115-NZRKS,Yes,No,Fiber optic
0219-YTZUE,Yes,Yes,Fiber optic
0623-IIHUG,No,No phone service,DSL
4572-DVCGN,Yes,No,Fiber optic
3351-NGXYI,Yes,Yes,DSL
8984-EYLLL,Yes,Yes,Fiber optic
9057-MSWCO,No,No phone service,DSL
9833-TGFHX,Yes,Yes,Fiber optic
9294-TDIPC,Yes,No,No
5229-DTFYB,Yes,No,Fiber optic
0104-PPXDV,Yes,No,DSL
5176-LMJXE,Yes,No,No
