CustomerSVC_id,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,Contract,TechSupport,OnlineSecurity
7590-VHVEG,Yes,No,No,No,Month-to-month,No,No
5575-GNVDE,No,Yes,No,No,One year,No,Yes
3668-QPYBK,Yes,No,No,No,Month-to-month,No,Yes
7795-CFOCW,No,Yes,No,No,One year,Yes,Yes
9237-HQITU,No,No,No,No,Month-to-month,No,No
9305-CDSKC,No,Yes,Yes,Yes,Month-to-month,No,No
1452-KIOVK,Yes,No,Yes,No,Month-to-month,No,No
6713-OKOMC,No,No,No,No,Month-to-month,No,Yes
7892-POOKP,No,Yes,Yes,Yes,Month-to-month,Yes,No
6388-TABGU,Yes,No,No,No,One year,No,Yes
9763-GRSKD,No,No,No,No,Month-to-month,No,Yes
7469-LKBCI,No internet service,No internet service,No internet service,No internet service,Two year,No internet service,No internet service
8091-TTVAX,No,Yes,Yes,Yes,One year,No,No
0280-XJGEX,Yes,Yes,Yes,Yes,Month-to-month,No,No
5129-JLPIS,No,Yes,Yes,Yes,Month-to-month,Yes,Yes
3655-SNQYZ,Yes,Yes,Yes,Yes,Two year,Yes,Yes
8191-XWSZG,No internet service,No internet service,No internet service,No internet service,One year,No internet service,No internet service
9959-WOFKT,No,Yes,Yes,Yes,Two year,No,Yes
4190-MFLUW,No,Yes,No,No,Month-to-month,Yes,No
4183-MYFRB,Yes,Yes,No,Yes,Month-to-month,No,No
8779-QRDMV,No,Yes,No,Yes,Month-to-month,No,No
1680-VDCWW,No internet service,No internet service,No internet service,No internet service,One year,No internet service,No internet service
1066-JKSGK,No internet service,No internet service,No internet service,No internet service,Month-to-month,No internet service,No internet service
3638-WEABW,Yes,No,No,No,Two year,Yes,No
6322-HRPFA,Yes,No,No,No,Month-to-month,Yes,Yes
6865-JZNKO,Yes,No,No,No,Month-to-month,No,Yes
6467-CHFZW,Yes,No,Yes,Yes,Month-to-month,No,No
8665-UTDHZ,Yes,No,No,No,Month-to-month,No,No
5248-YGIJN,Yes,Yes,Yes,Yes,Two year,Yes,Yes
8773-HHUOZ,No,No,Yes,Yes,Month-to-month,No,No
3841-NFECX,Yes,Yes,No,No,Two year,Yes,Yes
4929-XIHVW,No,Yes,Yes,Yes,Month-to-month,No,No
6827-IEAUQ,Yes,Yes,No,No,One year,Yes,Yes
7310-EGVHZ,No internet service,No internet service,No internet service,No internet service,Month-to-month,No internet service,No internet service
3413-BMNZE,No,No,No,No,Month-to-month,No,No
6234-RAAPL,Yes,No,Yes,No,Two year,Yes,Yes
6047-YHPVI,No,No,No,No,Month-to-month,No,No
6572-ADKRS,No,Yes,No,No,Month-to-month,No,No
5380-WJKOV,Yes,Yes,Yes,Yes,Month-to-month,No,No
8168-UQWWF,No,Yes,Yes,Yes,Month-to-month,No,No
8865-TNMNX,Yes,No,No,No,One year,No,No
9489-DEDVP,Yes,No,Yes,No,Two year,No,Yes
9867-JCZSP,No internet service,No internet service,No internet service,No internet service,One year,No internet service,No internet service
4671-VJLCL,Yes,Yes,Yes,No,Two year,Yes,Yes
4080-IIARD,Yes,No,Yes,No,Month-to-month,Yes,Yes
3714-NTNFO,No,No,No,Yes,Month-to-month,No,No
5948-UJZLF,Yes,No,No,No,Month-to-month,No,No
7760-OYPDY,No,No,Yes,No,Month-to-month,No,No
7639-LIAYI,No,No,Yes,Yes,Two year,Yes,Yes
2954-PIBKO,No,Yes,No,No,Two year,Yes,Yes
8012-SOUDQ,Yes,No,Yes,No,Month-to-month,No,No
9420-LOJKX,Yes,No,Yes,Yes,Month-to-month,No,Yes
6575-SUVOI,No,No,Yes,No,Month-to-month,Yes,Yes
7495-OOKFY,Yes,No,No,No,Month-to-month,No,No
4667-QONEA,Yes,Yes,No,Yes,One year,Yes,Yes
1658-BYGOY,No,No,Yes,Yes,Month-to-month,No,No
8769-KKTPH,No,No,Yes,Yes,One year,No,Yes
